# Expansion set. Same format as words.txt:
# word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example

# ---------------- Verb Tenses ----------------
equitable|adjective|Fair and impartial|makatarungan|Patas at walang kinikilingan|We seek an equitable solution.
erratic|adjective|Irregular and unpredictable|pabagu-bago|Hindi regular at di-mahulaan|His attendance is erratic.
exemplary conduct|adjective|Providing a very good example|huwaran|Nagbibigay ng mabuting halimbawa|Her conduct was exemplary.
exorbitant|adjective|Unreasonably expensive|sobrang mahal|Labis-labis ang presyo|The fees are exorbitant.
fervent|adjective|Showing very strong feeling|masigasig|Nagpapakita ng matinding damdamin|He is a fervent supporter.
flagrant|adjective|Shockingly obvious and bad|hayagan|Nakakagulat na halata at masama|It was a flagrant breach.
fraught|adjective|Full of problems or tension|puno ng gulo|Puno ng suliranin o tensyon|The talks were fraught.
futile attempt|adjective|Pointless and certain to fail|walang saysay|Walang saysay at tiyak na mabibigo|It was a futile attempt.
implicit|adjective|Suggested but not directly stated|ipinahihiwatig|Ipinapahiwatig ngunit hindi sinasabi|There is an implicit warning.
inadvertent error|adjective|Not done on purpose|di-sinasadya|Hindi sinadyang gawin|It was an inadvertent error.
inconceivable|adjective|Impossible to imagine|di-maisip|Imposibleng isipin|Failure seemed inconceivable.
incontrovertible|adjective|Impossible to argue against|di-matutulan|Hindi maaaring tutulan|The proof is incontrovertible.
inevitable outcome|adjective|Certain to happen|hindi maiiwasan|Tiyak na mangyayari|Defeat was the inevitable outcome.
innate|adjective|Present from birth and natural|likas|Taglay mula sa kapanganakan|She has an innate sense of rhythm.
intangible|adjective|Real but not able to be touched|di-nahahawakan|Totoo ngunit hindi nahahawakan|Goodwill is an intangible asset.
irrefutable|adjective|Impossible to prove wrong|hindi mapapabulaanan|Hindi mapapatunayang mali|The logic is irrefutable.
judicious|adjective|Showing good sense and care|maalam|Nagpapakita ng mabuting pagpapasya|A judicious choice of words.
lax|adjective|Not strict enough|maluwag|Hindi sapat ang higpit|Security was lax.
lucid explanation|adjective|Clear and easy to understand|malinaw|Malinaw at madaling maunawaan|He gave a lucid explanation.
mundane|adjective|Ordinary and dull|karaniwan|Pangkaraniwan at nakakabagot|Most of the work is mundane.
nominal fee|adjective|Very small, or in name only|maliit|Napakaliit o sa pangalan lamang|There is a nominal fee.
onerous|adjective|Involving heavy duty or effort|mabigat|May mabigat na tungkulin|The terms are onerous.
opaque wording|adjective|Difficult to understand|malabo|Mahirap maunawaan|The wording is opaque.
overt|adjective|Done openly and not hidden|hayag|Ginagawa nang hayagan|There was overt hostility.
palpable|adjective|So strong it can almost be felt|nadarama|Napakalakas na halos madama|The tension was palpable.
perpetual|adjective|Never ending or constantly repeated|walang hanggan|Walang katapusan o paulit-ulit|He is in perpetual motion.
pertinent question|adjective|Directly relevant to the matter|may kaugnayan|Tuwirang may kinalaman|That is a pertinent question.
precarious position|adjective|Unsafe and likely to change|delikado|Hindi ligtas at madaling magbago|They are in a precarious position.
preeminent|adjective|Better than all others|nangunguna|Nakahihigit sa lahat|She is the preeminent scholar here.
profuse|adjective|Produced in large amounts|masagana|Napakarami ang dami|He offered profuse apologies.
prolific writer|adjective|Producing a great deal|masipag|Napakaraming nagagawa|She is a prolific writer.
redundant wording|adjective|Repeating what is already said|paulit-ulit|Inuulit ang nasabi na|Cut the redundant wording.
resolute|adjective|Determined and unwavering|matatag|Determinado at hindi nagbabago|She was resolute in her refusal.
salient point|adjective|Most noticeable or important|pangunahin|Pinakamahalaga o kapansin-pansin|Note the salient points.
sporadic|adjective|Happening at irregular intervals|paminsan-minsan|Nangyayari nang hindi regular|There was sporadic gunfire.
staunch|adjective|Very loyal and committed|matapat|Napakatapat at determinado|He is a staunch supporter.
succinct summary|adjective|Expressed clearly in few words|maikli|Malinaw sa kakaunting salita|Give a succinct summary.
superfluous|adjective|More than is needed|sobra|Higit sa kailangan|Cut any superfluous detail.
tenable|adjective|Able to be defended with reason|matibay|Kayang ipagtanggol sa katwiran|The position is no longer tenable.
tenuous link|adjective|Very weak and uncertain|manipis|Napakahina at di-tiyak|The link is tenuous.
unequivocal|adjective|Leaving no doubt at all|walang alinlangan|Walang anumang pag-aalinlangan|We need an unequivocal answer.
untenable|adjective|Impossible to defend|hindi maipagtatanggol|Hindi kayang ipagtanggol|His argument is untenable.
vociferous|adjective|Expressing opinions loudly|maingay|Malakas magpahayag ng opinyon|A vociferous minority objected.
zealous supporter|adjective|Showing great energy for a cause|masigasig|Puno ng sigla para sa adhikain|He is a zealous supporter.

# ---------------- Useful Nouns ----------------
abatement|noun|A reduction in something unpleasant|pagbaba|Pagbawas ng masamang bagay|Noise abatement measures began.
accolade|noun|An award or praise for achievement|parangal|Gantimpala o papuri sa tagumpay|The film received many accolades.
affinity|noun|A natural liking or connection|hilig|Likas na pagkagusto o ugnayan|She has an affinity for languages.
aftermath|noun|The period following a bad event|kahihinatnan|Panahon matapos ang masamang pangyayari|The aftermath lasted years.
ambivalence|noun|Having mixed feelings about something|pag-aalinlangan|Magkahalong damdamin|His ambivalence was obvious.
antidote|noun|Something that counteracts a problem|panlaban|Bagay na sumasalungat sa problema|Exercise is an antidote to stress.
apex|noun|The highest point of something|tuktok|Pinakamataas na bahagi|The apex of the roof leaks.
arbiter|noun|A person with power to settle a dispute|tagapamagitan|Taong may kapangyarihang magpasya|The court is the final arbiter.
attrition|noun|A gradual reduction in numbers|unti-unting pagbaba|Dahan-dahang pagbawas ng bilang|Staff numbers fell by attrition.
autonomy of the region|noun|The right to govern yourself|awtonomiya|Karapatang mamahala sa sarili|The region gained autonomy.
caveat|noun|A warning about a limitation|babala|Babala tungkol sa limitasyon|One caveat applies to the offer.
conjecture|noun|An opinion formed without full evidence|haka-haka|Palagay na walang buong patunay|That is pure conjecture.
conundrum|noun|A confusing and difficult problem|palaisipan|Nakalilitong suliranin|The scheduling is a conundrum.
corollary|noun|A natural result of something else|kaugnay na bunga|Likas na bunga ng ibang bagay|Higher rents are a corollary of demand.
crux|noun|The most important point of a problem|ubod|Pinakamahalagang punto ng suliranin|That is the crux of the matter.
demise|noun|The end or failure of something|pagbagsak|Pagtatapos o pagkabigo ng isang bagay|The demise of the paper shocked staff.
dichotomy|noun|A division between two opposed things|dikotomiya|Paghahati sa dalawang magkasalungat|There is a false dichotomy here.
disparity|noun|A great difference between things|pagkakaiba|Malaking pagkakaiba ng bagay|The pay disparity is stark.
duress|noun|Force or threats used to make somebody act|pamimilit|Pwersa o banta upang mapakilos|The confession was made under duress.
emergence|noun|The process of coming into view|paglitaw|Proseso ng paglabas o paglitaw|The emergence of new evidence changed things.
enigma|noun|Somebody or something mysterious|palaisipan|Taong o bagay na misteryoso|He remains an enigma.
equity in schooling|noun|Fairness in how people are treated|pagkakapantay|Katarungan sa pakikitungo|We work for equity in schooling.
euphemism for dying|noun|A mild word for something unpleasant|malumanay na salita|Malumanay na salita para sa di-kaaya-aya|"Passing" is a euphemism for dying.
fluctuation|noun|An irregular rise and fall|pagbabago-bago|Hindi regular na pagtaas at pagbaba|Price fluctuation is normal.
grievance procedure|noun|A formal way to raise a complaint|paraan ng pagrereklamo|Pormal na paraan ng pagreklamo|Follow the grievance procedure.
impasse|noun|A situation where no progress is possible|impas|Sitwasyong walang pag-unlad|The talks reached an impasse.
imperative to act|noun|Something that must be done|kailangang gawin|Bagay na dapat gawin|There is an imperative to act now.
incentive scheme|noun|Something that encourages an action|insentibo|Bagay na naghihikayat kumilos|The incentive scheme raised output.
inclination|noun|A tendency to do something|hilig|Hilig na gumawa ng isang bagay|I have no inclination to argue.
increment of pay|noun|A regular increase in amount|dagdag|Regular na pagtaas ng dami|Salaries rise by yearly increments of pay.
indicator|noun|A sign showing the state of something|palatandaan|Tandang nagpapakita ng kalagayan|Literacy is a key indicator.
initiative to reduce waste|noun|A new plan to solve a problem|inisyatiba|Bagong planong lutasin ang suliranin|They launched an initiative to reduce waste.
interlude|noun|A short period between two events|pahinga|Maikling panahon sa pagitan ng dalawa|A brief interlude followed.
intricacy|noun|A complicated detail|kaguluhan|Masalimuot na detalye|The intricacies of the law confuse people.
juxtaposition|noun|The placing of two things side by side|pagtatabi|Paglalagay ng dalawang bagay na magkatabi|The juxtaposition is striking.
lapse|noun|A brief failure of memory or standards|pagkukulang|Maikling pagkakamali o pagkalimot|It was a momentary lapse.
mainstay|noun|The most important part of something|haligi|Pinakamahalagang bahagi|Tourism is the town's mainstay.
mandate for change|noun|Authority given by voters|mandato|Kapangyarihang ibinigay ng botante|They claimed a mandate for change.
milestone in her career|noun|An important stage in progress|palatandaan|Mahalagang yugto ng pag-unlad|It was a milestone in her career.
nucleus of the team|noun|The central and most important part|ubod|Sentro at pinakamahalagang bahagi|Three players form the nucleus of the team.
outset|noun|The very beginning of something|simula|Pinakaunang bahagi|Say so at the outset.
periphery|noun|The outer edge of an area|gilid|Panlabas na hangganan ng lugar|Growth is on the periphery.
predicament|noun|A difficult and unpleasant situation|kagipitan|Mahirap at di-kaaya-ayang sitwasyon|We are in a real predicament.
premise for the plan|noun|A statement assumed to be true|premisa|Pahayag na ipinapalagay na totoo|The premise for the plan is flawed.
prerequisite|noun|Something required before something else|kinakailangan|Bagay na kailangan muna|Maths is a prerequisite for the course.
recourse|noun|A source of help in a difficulty|paraan|Pinagkukunan ng tulong|Legal recourse remains open.
repertoire|noun|The range of things somebody can do|repertoryo|Saklaw ng kayang gawin|The band has a wide repertoire.
respite|noun|A short period of rest from something|pahinga|Maikling pahinga mula sa hirap|The rain gave brief respite.
rhetoric of the campaign|noun|Language used to persuade|retorika|Wikang ginagamit sa panghihikayat|The rhetoric of the campaign hardened.
rift|noun|A serious break in a relationship|hidwaan|Malubhang pagkakasira ng ugnayan|A rift divided the family.
sanction against the state|noun|A penalty imposed to force compliance|parusa|Parusang ipinapataw upang mapasunod|Sanctions against the state continue.
scrutiny of the accounts|noun|Careful and critical examination|masusing pagsusuri|Maingat at kritikal na pagsusuri|The accounts face close scrutiny.
semblance|noun|An appearance of something|anyo|Panlabas na hitsura ng isang bagay|Order was restored to some semblance.
stalemate|noun|A situation where neither side can win|patas|Sitwasyong walang makakapanalo|The dispute ended in stalemate.
stimulus|noun|Something causing a reaction or growth|pampasigla|Bagay na nagdudulot ng reaksyon|The grant acted as a stimulus.
subsidy for farmers|noun|Money given to reduce costs|subsidiya|Perang ibinibigay upang bumaba ang gastos|The subsidy for farmers was cut.
synopsis|noun|A brief summary of a story|buod|Maikling buod ng kuwento|Read the synopsis first.
tenet|noun|A principle held to be true|prinsipyo|Prinsipyong itinuturing na totoo|Equality is a central tenet.
