# Format: word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example
# Sections below become browsable categories in the app (see tools/build_db.py).

# ---------------- Parts of Speech ----------------
profound|adjective|Very deep in effect or meaning|malalim|Malalim ang epekto o kahulugan|The book had a profound effect.
prominent|adjective|Important and easily noticed|tanyag|Mahalaga at kapansin-pansin|She holds a prominent role.
prone|adjective|Likely to suffer from something|madaling tamaan|Malamang na maapektuhan|The area is prone to flooding.
radical|adjective|Affecting the fundamental nature|radikal|Nakaaapekto sa pinakaugat|They proposed a radical change.
reasonable|adjective|Fair and sensible|makatuwiran|Patas at may katinuan|That is a reasonable request.
reliable|adjective|Able to be trusted consistently|maaasahan|Palaging mapagkakatiwalaan|We need a reliable supplier.
remarkable|adjective|Worthy of attention because unusual|kahanga-hanga|Kapansin-pansin dahil pambihira|The recovery was remarkable.
rigid|adjective|Stiff and not easily changed|matigas|Hindi madaling baguhin o baluktot|The rules are too rigid.
robust|adjective|Strong and able to withstand strain|matatag|Malakas at kayang tiisin ang bigat|We need a robust process.
rural|adjective|Relating to the countryside|kanayunan|May kinalaman sa lalawigan|Rural clinics need more staff.
scarce|adjective|Available in small quantity|kakaunti|Kaunti lamang ang matatagpuan|Clean water became scarce.
sensible|adjective|Showing good judgement|matino|Nagpapakita ng tamang pagpapasya|That is a sensible precaution.
sensitive|adjective|Easily affected, or needing care|maramdamin|Madaling maapektuhan o kailangang ingatan|This is a sensitive subject.
severe|adjective|Very serious or harsh|malubha|Napakabigat o mahigpit|A severe storm is forecast.
simultaneous|adjective|Happening at the same time|sabay|Nangyayari nang sabay|The two events were simultaneous.
sophisticated|adjective|Advanced and refined|sopistikado|Mataas ang antas at pino|The system is quite sophisticated.
spontaneous|adjective|Done without planning|kusang-loob|Ginawa nang walang plano|It was a spontaneous decision.
stable|adjective|Firm and not likely to change|matatag|Matatag at hindi madaling magbago|His condition is now stable.
steady|adjective|Regular and unchanging|tuloy-tuloy|Palagian at hindi nagbabago|A steady rain fell all night.
strict|adjective|Demanding exact obedience|mahigpit|Mahigpit sa pagsunod|Our deadline is strict.
subtle|adjective|Delicate and not obvious|hindi halata|Marahan at hindi kapansin-pansin|There is a subtle difference.
sufficient|adjective|Enough for the need|sapat|Sapat sa pangangailangan|We have sufficient evidence.
superficial|adjective|Only on the surface|mababaw|Nasa ibabaw lamang|The damage was superficial.
temporary|adjective|Lasting for a limited time|pansamantala|Tumatagal lamang nang saglit|This is a temporary fix.
tentative|adjective|Not final and open to change|panimula|Hindi pa tiyak at maaaring magbago|Here is a tentative schedule.
tremendous|adjective|Very great in scale or degree|napakalaki|Napakalaki ng antas o sukat|A tremendous amount of work.
trivial|adjective|Of little importance|walang kabuluhan|Napakaliit ang halaga|Do not argue over trivial points.
unique|adjective|Being the only one of its kind|natatangi|Nag-iisa sa uri nito|Each piece is unique.
universal|adjective|Applying to all cases or people|pandaigdig|Umaangkop sa lahat|Access to water is a universal need.
urgent|adjective|Requiring immediate attention|kagyat|Nangangailangan ng agarang aksyon|Mark the email as urgent.
valuable|adjective|Worth a great deal|mahalaga|May malaking halaga|Your feedback is valuable.
versatile|adjective|Able to be used in many ways|maraming gamit|Maaaring gamitin sa iba't ibang paraan|A versatile tool saves space.
viable|adjective|Able to work successfully|malulusog na plano|Kayang gumana nang matagumpay|Is the plan financially viable.
vibrant|adjective|Full of life and colour|makulay|Puno ng buhay at kulay|The market is vibrant at dawn.
vital|adjective|Absolutely necessary to life or success|mahalaga|Talagang kailangan sa buhay o tagumpay|Sleep is vital for recovery.
voluntary|adjective|Done by choice and unpaid|kusang-loob|Ginawa sa sariling pasya at walang bayad|Attendance is voluntary.
vulnerable|adjective|Open to harm or attack|mahina sa panganib|Bukas sa pinsala o atake|Older systems are vulnerable.
widespread|adjective|Found over a large area|laganap|Matatagpuan sa malawak na lugar|Support was widespread.

# ---------------- Linking Words ----------------
accordingly|adverb|As a result of what was said|kaya nga|Bilang bunga ng nabanggit|The road closed and we changed route accordingly.
afterwards|adverb|At a later time|pagkatapos|Sa susunod na sandali|We ate, and afterwards we walked.
albeit|conjunction|Although, used before a short phrase|bagaman|Kahit na, sa maikling parirala|The plan works, albeit slowly.
alternatively|adverb|As another possibility|o kaya naman|Bilang ibang posibilidad|Alternatively, we could meet online.
beforehand|adverb|Ahead of a particular time|bago pa|Bago dumating ang takdang oras|Read the notes beforehand.
consequently|adverb|As a direct result|dahil dito|Bilang tuwirang bunga|The bridge closed, consequently traffic doubled.
conversely|adverb|In the opposite way|sa kabilang banda|Sa kabaligtarang paraan|Small shops fell, conversely online sales rose.
furthermore|adverb|In addition to what was said|bukod dito|Karagdagan sa nabanggit|Furthermore, the cost has fallen.
hence|adverb|For this reason|kaya|Dahil dito|The data is old, hence the caution.
however|adverb|Introducing a contrast|gayunpaman|Nagpapakilala ng pagsalungat|The plan is good, however it is costly.
likewise|adverb|In the same way|gayundin|Sa katulad na paraan|She apologised and he did likewise.
meanwhile|adverb|At the same time|samantala|Sa parehong sandali|Meanwhile, the guests were waiting.
moreover|adverb|Adding a further important point|higit pa rito|Nagdaragdag ng mahalagang punto|Moreover, the deadline has moved.
nevertheless|adverb|In spite of what was just said|gayunpaman|Sa kabila ng nabanggit|It rained, nevertheless we walked.
nonetheless|adverb|Despite that|gayunman|Sa kabila noon|The plan is risky, nonetheless we agreed.
notwithstanding|preposition|In spite of something|sa kabila ng|Sa kabila ng isang bagay|Notwithstanding the delay, we finished.
otherwise|adverb|If not, or in other respects|kung hindi|Kung hindi ganoon, o sa ibang bagay|Leave now, otherwise you will be late.
regardless|adverb|Without paying attention to something|kahit ano pa|Nang hindi isinasaalang-alang|We continued regardless of the noise.
subsequently|adverb|At a later time, after something|kalaunan|Sa mas huling panahon|He was hired and subsequently promoted.
therefore|adverb|For that reason|kaya nga|Dahil sa dahilang iyon|The road flooded, therefore we stayed.
thereafter|adverb|After that time|mula noon|Mula sa panahong iyon|The shop closed and thereafter stood empty.
whereas|conjunction|In contrast with the fact that|samantalang|Kabaligtaran ng nabanggit|He prefers tea, whereas she drinks coffee.
whereby|adverb|By which means|sa pamamagitan nito|Sa paraang ito|A scheme whereby staff can study part time.
admittedly|adverb|Acknowledging a fact reluctantly|aminado|Kinikilala ang isang katotohanan|Admittedly, the first draft was weak.
arguably|adverb|As can be reasonably argued|maaaring sabihin|Maaaring pangatwiranan|That is arguably her best work.
presumably|adverb|As may reasonably be assumed|malamang|Malamang ayon sa palagay|Presumably the train is delayed.
seemingly|adverb|Appearing to be the case|tila|Sa tingin o hitsura|The list was seemingly complete.
ultimately|adverb|In the end, finally|sa bandang huli|Sa huling bahagi o kalaunan|Ultimately the choice is yours.
initially|adverb|At the beginning|sa simula|Sa unang bahagi|Initially we planned two days.
eventually|adverb|After a long time|sa wakas|Matapos ang mahabang panahon|Eventually the parcel arrived.
occasionally|adverb|Now and then|paminsan-minsan|Sa hindi madalas na pagkakataon|We occasionally work weekends.
seldom|adverb|Not often|bihira|Hindi madalas mangyari|He seldom misses a class.
invariably|adverb|Always, without exception|palagi|Laging ganoon at walang pagbubukod|The bus is invariably late.
promptly|adverb|Without delay|agad|Walang pag-aaksaya ng oras|She replied promptly.
previously|adverb|At an earlier time|dati|Sa naunang panahon|He previously worked in Cebu.
gradually|adverb|Slowly over time|unti-unti|Dahan-dahan sa paglipas ng panahon|The pain gradually eased.
indefinitely|adverb|For an unlimited period|walang takdang panahon|Walang tiyak na hangganan ang tagal|The service is suspended indefinitely.
periodically|adverb|At regular intervals|pana-panahon|Sa regular na agwat ng panahon|Check the seals periodically.
respectively|adverb|In the order already mentioned|ayon sa pagkakasunod|Sunod sa pagkakabanggit|They finished first and third respectively.
namely|adverb|That is to say, specifying exactly|samakatuwid|Upang tukuyin nang eksakto|Two staff, namely the cook and the driver.
notably|adverb|In particular, worth mentioning|lalo na|Partikular at karapat-dapat banggitin|Costs fell, notably in transport.
essentially|adverb|In the most basic sense|sa kabuuan|Sa pinakapayak na diwa|It is essentially the same plan.
approximately|adverb|Close to but not exactly|humigit-kumulang|Malapit ngunit hindi eksakto|Approximately forty people came.
partially|adverb|To a limited extent|bahagya|Sa may hangganang antas|The road is partially open.
predominantly|adverb|Mainly or for the most part|nangingibabaw|Higit sa lahat o karamihan|The area is predominantly farmland.
simultaneously|adverb|At the same time as something else|sabay|Kasabay ng ibang pangyayari|Both alarms sounded simultaneously.
thereby|adverb|By that means|sa gayon|Sa pamamagitan noon|She left early, thereby avoiding traffic.
henceforth|adverb|From this time on|mula ngayon|Simula sa sandaling ito|Henceforth all forms go online.
inasmuch as|conjunction|To the extent that, because|yamang|Dahil sa o sa antas na|Inasmuch as funds allow, we will expand.
hitherto|adverb|Until this point in time|hanggang ngayon|Hanggang sa sandaling ito|Hitherto the rule was never applied.

# ---------------- Commonly Confused Words ----------------
affect|verb|To influence something|makaapekto|Magdulot ng pagbabago sa isang bagay|Noise can affect your sleep.
effect|noun|The result of an influence|bunga|Resulta ng isang impluwensya|The new rule had a small effect.
except|preposition|Not including, unlike accept which means to receive|maliban sa|Hindi kasama, kaiba sa accept na nangangahulugang tanggapin|Everyone came except Ana.
advice|noun|Guidance offered as a noun, while advise is the verb|payo|Payo bilang pangngalan, samantalang advise ang pandiwa|Her advice saved me hours.
complement|noun|Something that completes another, unlike compliment which is praise|pandagdag|Bagay na bumubuo sa iba, kaiba sa compliment na papuri|The sauce is a good complement to fish.
stationary|adjective|Not moving|hindi gumagalaw|Nakatigil at walang galaw|The van was stationary at the lights.
stationery|noun|Writing materials such as paper and pens|kagamitang panulat|Papel, panulat, at katulad|Order more stationery for the office.
discreet|adjective|Careful not to attract attention|maingat|Maingat upang hindi mapansin|Please be discreet about the news.
discrete|adjective|Separate and distinct|hiwalay|Magkabukod at magkaiba|The course has four discrete units.
allusion|noun|An indirect reference to something|pahiwatig|Hindi tuwirang pagtukoy|The title is an allusion to a poem.
illusion|noun|A false impression of reality|ilusyon|Maling akala sa katotohanan|The mirror creates an illusion of space.
insure|verb|To arrange financial protection|magseguro|Ayusin ang proteksyong pinansyal|Insure the equipment before shipping.
assure|verb|To tell someone confidently|siguraduhin sa iba|Sabihin nang buong tiwala sa iba|I assure you the parcel was sent.
lose|verb|To no longer have something|mawala|Hindi na taglay ang isang bagay|Do not lose the receipt.
loose|adjective|Not tight or firmly fixed|maluwag|Hindi mahigpit ang pagkakakabit|The handle is loose.
than|conjunction|Used when comparing things|kaysa|Ginagamit sa paghahambing|This one is bigger than that.
